shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
vt-vasttag,3848,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3852,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7201,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7202,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7204,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7205,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7206,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7208,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7209,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7210,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7212,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7213,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7216,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7217,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7220,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7223,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7224,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7225,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7228,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7229,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7232,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7233,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7236,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7237,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
